case_id,input_file,historical_txt,region,source_language,sw_i_step,ecu_count,total_dtcs,active_dtcs,primary_ecu,primary_dtc,test_type,test_environment
HIST-SYN-001,phase1_inputs/IN/en-IN/24-10-227/Prod_Diagnostic_Extended_SYN_001.txt,historical_cases/txt/IN/en-IN/24-10-227/HIST-SYN-001.txt,IN,en-IN,24-10-227,25,57,14,FCAM,0xFCAB,Hot climate,Public road profile
HIST-SYN-002,phase1_inputs/NA/en-US/24-10-227/Prod_Diagnostic_Extended_SYN_002.txt,historical_cases/txt/NA/en-US/24-10-227/HIST-SYN-002.txt,NA,en-US,24-10-227,26,64,16,TCU,0x0DCF,Cold climate,Workshop dynamometer
HIST-SYN-003,phase1_inputs/EU-DE/de/24-10-227/Prod_Diagnostic_Extended_SYN_003.txt,historical_cases/txt/EU-DE/de/24-10-227/HIST-SYN-003.txt,EU-DE,de,24-10-227,27,71,18,RR_CORNER_RADAR,0xADE1,Network robustness,Climate chamber
HIST-SYN-004,phase1_inputs/EU-FR/fr/24-10-227/Prod_Diagnostic_Extended_SYN_004.txt,historical_cases/txt/EU-FR/fr/24-10-227/HIST-SYN-004.txt,EU-FR,fr,24-10-227,24,78,20,RR_CORNER_RADAR,0xED89,Endurance,Proving ground
HIST-SYN-005,phase1_inputs/LATAM/es/24-10-227/Prod_Diagnostic_Extended_SYN_005.txt,historical_cases/txt/LATAM/es/24-10-227/HIST-SYN-005.txt,LATAM,es,24-10-227,25,54,13,EPS,0xB76E,Charging validation,HIL bench
HIST-SYN-006,phase1_inputs/BR/pt-BR/24-10-227/Prod_Diagnostic_Extended_SYN_006.txt,historical_cases/txt/BR/pt-BR/24-10-227/HIST-SYN-006.txt,BR,pt-BR,24-10-227,26,61,16,BCM,0xBA6A,Highway profile,Charging laboratory
HIST-SYN-007,phase1_inputs/EU-IT/it/24-10-227/Prod_Diagnostic_Extended_SYN_007.txt,historical_cases/txt/EU-IT/it/24-10-227/HIST-SYN-007.txt,EU-IT,it,24-10-227,27,68,17,BCM,0x9F0D,Urban profile,Public road profile
HIST-SYN-008,phase1_inputs/EU-PL/pl/24-10-227/Prod_Diagnostic_Extended_SYN_008.txt,historical_cases/txt/EU-PL/pl/24-10-227/HIST-SYN-008.txt,EU-PL,pl,24-10-227,24,75,19,BCM,0x3A0F,Software regression,Workshop dynamometer
HIST-SYN-009,phase1_inputs/IN-HI/hi/24-10-227/Prod_Diagnostic_Extended_SYN_009.txt,historical_cases/txt/IN-HI/hi/24-10-227/HIST-SYN-009.txt,IN-HI,hi,24-10-227,25,51,12,GW,0xCFDA,Hot climate,Climate chamber
HIST-SYN-010,phase1_inputs/JP/ja/24-10-227/Prod_Diagnostic_Extended_SYN_010.txt,historical_cases/txt/JP/ja/24-10-227/HIST-SYN-010.txt,JP,ja,24-10-227,26,58,15,BCM,0x974D,Cold climate,Proving ground
HIST-SYN-011,phase1_inputs/KR/ko/24-10-227/Prod_Diagnostic_Extended_SYN_011.txt,historical_cases/txt/KR/ko/24-10-227/HIST-SYN-011.txt,KR,ko,24-10-227,27,65,16,ADAS,0x5262,Network robustness,HIL bench
HIST-SYN-012,phase1_inputs/CN/zh-Hans/24-10-227/Prod_Diagnostic_Extended_SYN_012.txt,historical_cases/txt/CN/zh-Hans/24-10-227/HIST-SYN-012.txt,CN,zh-Hans,24-10-227,24,72,18,ADAS,0x09C2,Endurance,Charging laboratory
HIST-SYN-013,phase1_inputs/IN/en-IN/24-10-227/Prod_Diagnostic_Extended_SYN_013.txt,historical_cases/txt/IN/en-IN/24-10-227/HIST-SYN-013.txt,IN,en-IN,24-10-227,25,79,19,TCU,0xA165,Charging validation,Public road profile
HIST-SYN-014,phase1_inputs/NA/en-US/24-10-227/Prod_Diagnostic_Extended_SYN_014.txt,historical_cases/txt/NA/en-US/24-10-227/HIST-SYN-014.txt,NA,en-US,24-10-227,26,55,14,TCU,0xEA15,Highway profile,Workshop dynamometer
HIST-SYN-015,phase1_inputs/EU-DE/de/24-10-227/Prod_Diagnostic_Extended_SYN_015.txt,historical_cases/txt/EU-DE/de/24-10-227/HIST-SYN-015.txt,EU-DE,de,24-10-227,27,62,16,TCU,0x0EC1,Urban profile,Climate chamber
